FANG,Date
34.80546951293945,2013-08-01 00:00:00-04:00
34.83815002441406,2013-08-02 00:00:00-04:00
35.205718994140625,2013-08-05 00:00:00-04:00
34.47057342529297,2013-08-06 00:00:00-04:00
34.50325012207031,2013-08-07 00:00:00-04:00
34.380706787109375,2013-08-08 00:00:00-04:00
34.50325012207031,2013-08-09 00:00:00-04:00
34.37254333496094,2013-08-12 00:00:00-04:00
34.380706787109375,2013-08-13 00:00:00-04:00
33.04110336303711,2013-08-14 00:00:00-04:00
32.50198745727539,2013-08-15 00:00:00-04:00
33.08194351196289,2013-08-16 00:00:00-04:00
32.142574310302734,2013-08-19 00:00:00-04:00
32.08540344238281,2013-08-20 00:00:00-04:00
32.03639602661133,2013-08-21 00:00:00-04:00
32.142574310302734,2013-08-22 00:00:00-04:00
32.77154541015625,2013-08-23 00:00:00-04:00
32.67352294921875,2013-08-26 00:00:00-04:00
32.58367156982422,2013-08-27 00:00:00-04:00
33.898780822753906,2013-08-28 00:00:00-04:00
33.032928466796875,2013-08-29 00:00:00-04:00
32.869564056396484,2013-08-30 00:00:00-04:00
34.02947235107422,2013-09-03 00:00:00-04:00
35.40993881225586,2013-09-04 00:00:00-04:00
35.63048553466797,2013-09-05 00:00:00-04:00
35.46710205078125,2013-09-06 00:00:00-04:00
36.20226287841797,2013-09-09 00:00:00-04:00
36.25127410888672,2013-09-10 00:00:00-04:00
37.19063186645508,2013-09-11 00:00:00-04:00
38.08915710449219,2013-09-12 00:00:00-04:00
37.574554443359375,2013-09-13 00:00:00-04:00
36.61067581176758,2013-09-16 00:00:00-04:00
36.42280197143555,2013-09-17 00:00:00-04:00
36.48815155029297,2013-09-18 00:00:00-04:00
35.957210540771484,2013-09-19 00:00:00-04:00
34.944339752197266,2013-09-20 00:00:00-04:00
35.573299407958984,2013-09-23 00:00:00-04:00
35.638648986816406,2013-09-24 00:00:00-04:00
35.74483108520508,2013-09-25 00:00:00-04:00
35.9245491027832,2013-09-26 00:00:00-04:00
35.24656677246094,2013-09-27 00:00:00-04:00
34.82997512817383,2013-09-30 00:00:00-04:00
35.46710205078125,2013-10-01 00:00:00-04:00
35.303741455078125,2013-10-02 00:00:00-04:00
35.80201721191406,2013-10-03 00:00:00-04:00
37.58271789550781,2013-10-04 00:00:00-04:00
37.378501892089844,2013-10-07 00:00:00-04:00
36.3983039855957,2013-10-08 00:00:00-04:00
35.4344367980957,2013-10-09 00:00:00-04:00
35.67948913574219,2013-10-10 00:00:00-04:00
36.512657165527344,2013-10-11 00:00:00-04:00
37.99931335449219,2013-10-14 00:00:00-04:00
38.26886749267578,2013-10-15 00:00:00-04:00
40.4498291015625,2013-10-16 00:00:00-04:00
40.98893737792969,2013-10-17 00:00:00-04:00
42.62260437011719,2013-10-18 00:00:00-04:00
43.08820343017578,2013-10-21 00:00:00-04:00
41.103294372558594,2013-10-22 00:00:00-04:00
40.10675811767578,2013-10-23 00:00:00-04:00
44.109256744384766,2013-10-24 00:00:00-04:00
43.553810119628906,2013-10-25 00:00:00-04:00
43.71717071533203,2013-10-28 00:00:00-04:00
44.16642761230469,2013-10-29 00:00:00-04:00
43.87237548828125,2013-10-30 00:00:00-04:00
42.1896858215332,2013-10-31 00:00:00-04:00
41.36468505859375,2013-11-01 00:00:00-04:00
43.4231071472168,2013-11-04 00:00:00-05:00
45.04045104980469,2013-11-05 00:00:00-05:00
43.66816329956055,2013-11-06 00:00:00-05:00
44.109256744384766,2013-11-07 00:00:00-05:00
43.676334381103516,2013-11-08 00:00:00-05:00
