GFS,Date
60.220001220703125,2022-09-08 00:00:00-04:00
60.18000030517578,2022-09-09 00:00:00-04:00
60.34000015258789,2022-09-12 00:00:00-04:00
56.880001068115234,2022-09-13 00:00:00-04:00
58.31999969482422,2022-09-14 00:00:00-04:00
58.4900016784668,2022-09-15 00:00:00-04:00
57.61000061035156,2022-09-16 00:00:00-04:00
57.90999984741211,2022-09-19 00:00:00-04:00
56.81999969482422,2022-09-20 00:00:00-04:00
56.290000915527344,2022-09-21 00:00:00-04:00
54.86000061035156,2022-09-22 00:00:00-04:00
53.25,2022-09-23 00:00:00-04:00
52.79999923706055,2022-09-26 00:00:00-04:00
52.880001068115234,2022-09-27 00:00:00-04:00
52.45000076293945,2022-09-28 00:00:00-04:00
50.130001068115234,2022-09-29 00:00:00-04:00
48.349998474121094,2022-09-30 00:00:00-04:00
49.83000183105469,2022-10-03 00:00:00-04:00
52.06999969482422,2022-10-04 00:00:00-04:00
53.02000045776367,2022-10-05 00:00:00-04:00
53.529998779296875,2022-10-06 00:00:00-04:00
50.7400016784668,2022-10-07 00:00:00-04:00
49.279998779296875,2022-10-10 00:00:00-04:00
50.02000045776367,2022-10-11 00:00:00-04:00
49.91999816894531,2022-10-12 00:00:00-04:00
50.4900016784668,2022-10-13 00:00:00-04:00
48.040000915527344,2022-10-14 00:00:00-04:00
49.709999084472656,2022-10-17 00:00:00-04:00
52.380001068115234,2022-10-18 00:00:00-04:00
52.63999938964844,2022-10-19 00:00:00-04:00
53.279998779296875,2022-10-20 00:00:00-04:00
55.279998779296875,2022-10-21 00:00:00-04:00
58.7599983215332,2022-10-24 00:00:00-04:00
58.41999816894531,2022-10-25 00:00:00-04:00
57.13999938964844,2022-10-26 00:00:00-04:00
55.66999816894531,2022-10-27 00:00:00-04:00
57.25,2022-10-28 00:00:00-04:00
56.70000076293945,2022-10-31 00:00:00-04:00
57.0099983215332,2022-11-01 00:00:00-04:00
56.369998931884766,2022-11-02 00:00:00-04:00
52.689998626708984,2022-11-03 00:00:00-04:00
54.16999816894531,2022-11-04 00:00:00-04:00
