KHC,Date
61.59154510498047,2016-05-12 00:00:00-04:00
60.7283821105957,2016-05-13 00:00:00-04:00
61.25625228881836,2016-05-16 00:00:00-04:00
58.60971450805664,2016-05-17 00:00:00-04:00
57.91061782836914,2016-05-18 00:00:00-04:00
59.208919525146484,2016-05-19 00:00:00-04:00
58.79518127441406,2016-05-20 00:00:00-04:00
59.073394775390625,2016-05-23 00:00:00-04:00
60.07925033569336,2016-05-24 00:00:00-04:00
60.528141021728516,2016-05-25 00:00:00-04:00
60.1977424621582,2016-05-26 00:00:00-04:00
60.40604782104492,2016-05-27 00:00:00-04:00
59.752437591552734,2016-05-31 00:00:00-04:00
60.29829406738281,2016-06-01 00:00:00-04:00
60.894447326660156,2016-06-02 00:00:00-04:00
61.267967224121094,2016-06-03 00:00:00-04:00
61.04530715942383,2016-06-06 00:00:00-04:00
60.8729133605957,2016-06-07 00:00:00-04:00
61.18177795410156,2016-06-08 00:00:00-04:00
61.497806549072266,2016-06-09 00:00:00-04:00
61.296695709228516,2016-06-10 00:00:00-04:00
61.016563415527344,2016-06-13 00:00:00-04:00
60.96628189086914,2016-06-14 00:00:00-04:00
60.93753433227539,2016-06-15 00:00:00-04:00
61.25357437133789,2016-06-16 00:00:00-04:00
60.92319107055664,2016-06-17 00:00:00-04:00
61.41161346435547,2016-06-20 00:00:00-04:00
61.548072814941406,2016-06-21 00:00:00-04:00
61.20331573486328,2016-06-22 00:00:00-04:00
62.0365104675293,2016-06-23 00:00:00-04:00
60.14026641845703,2016-06-24 00:00:00-04:00
60.068450927734375,2016-06-27 00:00:00-04:00
60.88729476928711,2016-06-28 00:00:00-04:00
61.84257125854492,2016-06-29 00:00:00-04:00
63.552032470703125,2016-06-30 00:00:00-04:00
63.379661560058594,2016-07-01 00:00:00-04:00
63.73878479003906,2016-07-05 00:00:00-04:00
64.4570541381836,2016-07-06 00:00:00-04:00
64.14820098876953,2016-07-07 00:00:00-04:00
64.53604125976562,2016-07-08 00:00:00-04:00
64.52886962890625,2016-07-11 00:00:00-04:00
63.0636100769043,2016-07-12 00:00:00-04:00
63.93989562988281,2016-07-13 00:00:00-04:00
63.45147705078125,2016-07-14 00:00:00-04:00
63.82497024536133,2016-07-15 00:00:00-04:00
63.997352600097656,2016-07-18 00:00:00-04:00
63.90399169921875,2016-07-19 00:00:00-04:00
63.329383850097656,2016-07-20 00:00:00-04:00
62.948707580566406,2016-07-21 00:00:00-04:00
63.32219314575195,2016-07-22 00:00:00-04:00
63.50175476074219,2016-07-25 00:00:00-04:00
62.53208923339844,2016-07-26 00:00:00-04:00
61.50497055053711,2016-07-27 00:00:00-04:00
61.742027282714844,2016-07-28 00:00:00-04:00
62.05085754394531,2016-07-29 00:00:00-04:00
61.74919128417969,2016-08-01 00:00:00-04:00
61.160221099853516,2016-08-02 00:00:00-04:00
60.980655670166016,2016-08-03 00:00:00-04:00
61.44034957885742,2016-08-04 00:00:00-04:00
63.77470397949219,2016-08-05 00:00:00-04:00
63.74597930908203,2016-08-08 00:00:00-04:00
64.48577880859375,2016-08-09 00:00:00-04:00
64.17693328857422,2016-08-10 00:00:00-04:00
64.2415771484375,2016-08-11 00:00:00-04:00
64.32775115966797,2016-08-12 00:00:00-04:00
63.98299789428711,2016-08-15 00:00:00-04:00
63.89680099487305,2016-08-16 00:00:00-04:00
64.22003173828125,2016-08-17 00:00:00-04:00
64.4714126586914,2016-08-18 00:00:00-04:00
64.58633422851562,2016-08-19 00:00:00-04:00
64.62226867675781,2016-08-22 00:00:00-04:00
64.26311492919922,2016-08-23 00:00:00-04:00
64.32096099853516,2016-08-24 00:00:00-04:00
64.28480529785156,2016-08-25 00:00:00-04:00
63.75693893432617,2016-08-26 00:00:00-04:00
64.04617309570312,2016-08-29 00:00:00-04:00
63.61231994628906,2016-08-30 00:00:00-04:00
64.71145629882812,2016-08-31 00:00:00-04:00
64.70423126220703,2016-09-01 00:00:00-04:00
64.79823303222656,2016-09-02 00:00:00-04:00
64.89224243164062,2016-09-06 00:00:00-04:00
64.92838287353516,2016-09-07 00:00:00-04:00
64.4945068359375,2016-09-08 00:00:00-04:00
62.16610336303711,2016-09-09 00:00:00-04:00
64.0389633178711,2016-09-12 00:00:00-04:00
63.82925033569336,2016-09-13 00:00:00-04:00
63.402610778808594,2016-09-14 00:00:00-04:00
64.48005676269531,2016-09-15 00:00:00-04:00
64.31373596191406,2016-09-16 00:00:00-04:00
62.88922119140625,2016-09-19 00:00:00-04:00
