JD,Date
23.176414489746094,2015-01-07 00:00:00-05:00
23.428632736206055,2015-01-08 00:00:00-05:00
23.297853469848633,2015-01-09 00:00:00-05:00
22.522504806518555,2015-01-12 00:00:00-05:00
22.270282745361328,2015-01-13 00:00:00-05:00
22.251598358154297,2015-01-14 00:00:00-05:00
21.784521102905273,2015-01-15 00:00:00-05:00
22.485137939453125,2015-01-16 00:00:00-05:00
22.942873001098633,2015-01-20 00:00:00-05:00
22.868141174316406,2015-01-21 00:00:00-05:00
22.73736000061035,2015-01-22 00:00:00-05:00
23.026947021484375,2015-01-23 00:00:00-05:00
23.363243103027344,2015-01-26 00:00:00-05:00
23.67151641845703,2015-01-27 00:00:00-05:00
24.278718948364258,2015-01-28 00:00:00-05:00
23.064315795898438,2015-01-29 00:00:00-05:00
23.204437255859375,2015-01-30 00:00:00-05:00
23.802297592163086,2015-02-02 00:00:00-05:00
24.58698844909668,2015-02-03 00:00:00-05:00
24.951311111450195,2015-02-04 00:00:00-05:00
25.04472541809082,2015-02-05 00:00:00-05:00
24.717769622802734,2015-02-06 00:00:00-05:00
24.857894897460938,2015-02-09 00:00:00-05:00
24.58698844909668,2015-02-10 00:00:00-05:00
24.70842933654785,2015-02-11 00:00:00-05:00
24.755138397216797,2015-02-12 00:00:00-05:00
24.502914428710938,2015-02-13 00:00:00-05:00
25.50246238708496,2015-02-17 00:00:00-05:00
26.156370162963867,2015-02-18 00:00:00-05:00
25.9975643157959,2015-02-19 00:00:00-05:00
26.352542877197266,2015-02-20 00:00:00-05:00
26.25912857055664,2015-02-23 00:00:00-05:00
25.679950714111328,2015-02-24 00:00:00-05:00
25.50246238708496,2015-02-25 00:00:00-05:00
26.156370162963867,2015-02-26 00:00:00-05:00
25.848098754882812,2015-02-27 00:00:00-05:00
26.29649543762207,2015-03-02 00:00:00-05:00
25.71731948852539,2015-03-03 00:00:00-05:00
25.894807815551758,2015-03-04 00:00:00-05:00
27.090526580810547,2015-03-05 00:00:00-05:00
26.73554801940918,2015-03-06 00:00:00-05:00
27.015796661376953,2015-03-09 00:00:00-04:00
26.389911651611328,2015-03-10 00:00:00-04:00
25.69863510131836,2015-03-11 00:00:00-04:00
26.343202590942383,2015-03-12 00:00:00-04:00
26.23110580444336,2015-03-13 00:00:00-04:00
25.894807815551758,2015-03-16 00:00:00-04:00
26.651473999023438,2015-03-17 00:00:00-04:00
27.099870681762695,2015-03-18 00:00:00-04:00
27.034481048583984,2015-03-19 00:00:00-04:00
27.193286895751953,2015-03-20 00:00:00-04:00
27.090526580810547,2015-03-23 00:00:00-04:00
27.781801223754883,2015-03-24 00:00:00-04:00
27.7537784576416,2015-03-25 00:00:00-04:00
27.819169998168945,2015-03-26 00:00:00-04:00
28.099416732788086,2015-03-27 00:00:00-04:00
27.7911434173584,2015-03-30 00:00:00-04:00
27.445505142211914,2015-03-31 00:00:00-04:00
27.29604148864746,2015-04-01 00:00:00-04:00
27.548263549804688,2015-04-02 00:00:00-04:00
28.052709579467773,2015-04-06 00:00:00-04:00
28.958839416503906,2015-04-07 00:00:00-04:00
30.509538650512695,2015-04-08 00:00:00-04:00
30.537561416625977,2015-04-09 00:00:00-04:00
31.042007446289062,2015-04-10 00:00:00-04:00
31.86406707763672,2015-04-13 00:00:00-04:00
31.032669067382812,2015-04-14 00:00:00-04:00
31.340938568115234,2015-04-15 00:00:00-04:00
31.714601516723633,2015-04-16 00:00:00-04:00
31.004640579223633,2015-04-17 00:00:00-04:00
30.827150344848633,2015-04-20 00:00:00-04:00
31.499746322631836,2015-04-21 00:00:00-04:00
31.537111282348633,2015-04-22 00:00:00-04:00
31.443693161010742,2015-04-23 00:00:00-04:00
32.43389892578125,2015-04-24 00:00:00-04:00
32.957027435302734,2015-04-27 00:00:00-04:00
32.71414566040039,2015-04-28 00:00:00-04:00
31.948139190673828,2015-04-29 00:00:00-04:00
