PEP,Date
0.40311211347579956,1973-01-04 00:00:00-05:00
0.4007651209831238,1973-01-05 00:00:00-05:00
0.4025256037712097,1973-01-08 00:00:00-05:00
0.3984178304672241,1973-01-09 00:00:00-05:00
0.3954843282699585,1973-01-10 00:00:00-05:00
0.3990047872066498,1973-01-11 00:00:00-05:00
0.40311211347579956,1973-01-12 00:00:00-05:00
0.4025256037712097,1973-01-15 00:00:00-05:00
0.4025256037712097,1973-01-16 00:00:00-05:00
0.4083932042121887,1973-01-17 00:00:00-05:00
0.4125008285045624,1973-01-18 00:00:00-05:00
0.407806396484375,1973-01-19 00:00:00-05:00
0.407806396484375,1973-01-22 00:00:00-05:00
0.41015344858169556,1973-01-23 00:00:00-05:00
0.40369874238967896,1973-01-24 00:00:00-05:00
0.39783111214637756,1973-01-26 00:00:00-05:00
0.38726916909217834,1973-01-29 00:00:00-05:00
0.39020320773124695,1973-01-30 00:00:00-05:00
0.39137664437294006,1973-01-31 00:00:00-05:00
0.3884429633617401,1973-02-01 00:00:00-05:00
0.39079007506370544,1973-02-02 00:00:00-05:00
0.38726916909217834,1973-02-05 00:00:00-05:00
0.39431047439575195,1973-02-06 00:00:00-05:00
0.39020320773124695,1973-02-07 00:00:00-05:00
0.3937237858772278,1973-02-08 00:00:00-05:00
0.3937237858772278,1973-02-09 00:00:00-05:00
0.39489734172821045,1973-02-12 00:00:00-05:00
0.39431047439575195,1973-02-13 00:00:00-05:00
0.39079007506370544,1973-02-14 00:00:00-05:00
0.3919634521007538,1973-02-15 00:00:00-05:00
0.3954843282699585,1973-02-16 00:00:00-05:00
0.3960708677768707,1973-02-20 00:00:00-05:00
0.3937237858772278,1973-02-21 00:00:00-05:00
0.3931368887424469,1973-02-22 00:00:00-05:00
0.39255034923553467,1973-02-23 00:00:00-05:00
0.39255034923553467,1973-02-26 00:00:00-05:00
0.39020320773124695,1973-02-27 00:00:00-05:00
0.38726916909217834,1973-02-28 00:00:00-05:00
0.39079007506370544,1973-03-01 00:00:00-05:00
0.39079007506370544,1973-03-02 00:00:00-05:00
0.39441606402397156,1973-03-05 00:00:00-05:00
0.39912527799606323,1973-03-06 00:00:00-05:00
0.40324661135673523,1973-03-07 00:00:00-05:00
0.4073673188686371,1973-03-08 00:00:00-05:00
0.4091334044933319,1973-03-09 00:00:00-05:00
0.40618962049484253,1973-03-12 00:00:00-05:00
0.4097220003604889,1973-03-13 00:00:00-05:00
0.41914090514183044,1973-03-14 00:00:00-05:00
0.4150199592113495,1973-03-15 00:00:00-05:00
0.4126654863357544,1973-03-16 00:00:00-05:00
0.41384273767471313,1973-03-19 00:00:00-05:00
0.41089969873428345,1973-03-20 00:00:00-05:00
0.40501245856285095,1973-03-21 00:00:00-05:00
0.3932388126850128,1973-03-22 00:00:00-05:00
0.39147278666496277,1973-03-23 00:00:00-05:00
0.3879406750202179,1973-03-26 00:00:00-05:00
0.39206159114837646,1973-03-27 00:00:00-05:00
0.39088428020477295,1973-03-28 00:00:00-05:00
0.40148016810417175,1973-03-29 00:00:00-05:00
0.3926500976085663,1973-03-30 00:00:00-05:00
0.3885291516780853,1973-04-02 00:00:00-05:00
0.38911816477775574,1973-04-03 00:00:00-05:00
0.38381966948509216,1973-04-04 00:00:00-05:00
0.3885291516780853,1973-04-05 00:00:00-05:00
0.38911816477775574,1973-04-06 00:00:00-05:00
0.39088428020477295,1973-04-09 00:00:00-05:00
0.39912527799606323,1973-04-10 00:00:00-05:00
0.3955937325954437,1973-04-11 00:00:00-05:00
0.3902955651283264,1973-04-12 00:00:00-05:00
0.3902955651283264,1973-04-13 00:00:00-05:00
0.3879406750202179,1973-04-16 00:00:00-05:00
0.38676339387893677,1973-04-17 00:00:00-05:00
0.38440871238708496,1973-04-18 00:00:00-05:00
0.3967708349227905,1973-04-19 00:00:00-05:00
0.39912527799606323,1973-04-23 00:00:00-05:00
0.4038351774215698,1973-04-24 00:00:00-05:00
0.4020695388317108,1973-04-25 00:00:00-05:00
0.4026578366756439,1973-04-26 00:00:00-05:00
0.39382752776145935,1973-04-27 00:00:00-05:00
0.39441606402397156,1973-04-30 00:00:00-04:00
0.3932388126850128,1973-05-01 00:00:00-04:00
0.39206159114837646,1973-05-02 00:00:00-04:00
0.3932388126850128,1973-05-03 00:00:00-04:00
0.3955937325954437,1973-05-04 00:00:00-04:00
0.39853692054748535,1973-05-07 00:00:00-04:00
0.39853692054748535,1973-05-08 00:00:00-04:00
0.3955937325954437,1973-05-09 00:00:00-04:00
0.3955937325954437,1973-05-10 00:00:00-04:00
0.3902955651283264,1973-05-11 00:00:00-04:00
0.3820541203022003,1973-05-14 00:00:00-04:00
0.3873521685600281,1973-05-15 00:00:00-04:00
0.3873521685600281,1973-05-16 00:00:00-04:00
0.3873521685600281,1973-05-17 00:00:00-04:00
0.3873521685600281,1973-05-18 00:00:00-04:00
0.3902955651283264,1973-05-21 00:00:00-04:00
0.3902955651283264,1973-05-22 00:00:00-04:00
0.3902955651283264,1973-05-23 00:00:00-04:00
0.39853692054748535,1973-05-24 00:00:00-04:00
0.3955937325954437,1973-05-25 00:00:00-04:00
0.3955937325954437,1973-05-29 00:00:00-04:00
0.3902955651283264,1973-05-30 00:00:00-04:00
0.3902955651283264,1973-05-31 00:00:00-04:00
