KLAC,Date
0.7566705346107483,1981-05-15 00:00:00-04:00
0.7677979469299316,1981-05-18 00:00:00-04:00
0.7789252996444702,1981-05-19 00:00:00-04:00
0.8123077154159546,1981-05-20 00:00:00-04:00
0.8123077154159546,1981-05-21 00:00:00-04:00
0.8123077154159546,1981-05-22 00:00:00-04:00
0.8234357833862305,1981-05-26 00:00:00-04:00
0.7900530695915222,1981-05-27 00:00:00-04:00
0.7677979469299316,1981-05-28 00:00:00-04:00
0.7789252996444702,1981-05-29 00:00:00-04:00
0.7789252996444702,1981-06-01 00:00:00-04:00
0.7677979469299316,1981-06-02 00:00:00-04:00
0.7344153523445129,1981-06-03 00:00:00-04:00
0.7344153523445129,1981-06-04 00:00:00-04:00
0.7344153523445129,1981-06-05 00:00:00-04:00
0.712160050868988,1981-06-08 00:00:00-04:00
0.6676503419876099,1981-06-09 00:00:00-04:00
0.6676503419876099,1981-06-10 00:00:00-04:00
0.7344153523445129,1981-06-11 00:00:00-04:00
0.7232882380485535,1981-06-12 00:00:00-04:00
0.712160050868988,1981-06-15 00:00:00-04:00
0.6787776350975037,1981-06-16 00:00:00-04:00
0.6787776350975037,1981-06-17 00:00:00-04:00
0.6453952789306641,1981-06-18 00:00:00-04:00
0.6509588360786438,1981-06-19 00:00:00-04:00
0.6676503419876099,1981-06-22 00:00:00-04:00
0.6676503419876099,1981-06-23 00:00:00-04:00
0.6453952789306641,1981-06-24 00:00:00-04:00
0.6453952789306641,1981-06-25 00:00:00-04:00
0.6453952789306641,1981-06-26 00:00:00-04:00
0.6342676281929016,1981-06-29 00:00:00-04:00
0.6342676281929016,1981-06-30 00:00:00-04:00
0.6120125651359558,1981-07-01 00:00:00-04:00
0.6120125651359558,1981-07-02 00:00:00-04:00
0.6120125651359558,1981-07-06 00:00:00-04:00
0.6008855104446411,1981-07-07 00:00:00-04:00
0.6008855104446411,1981-07-08 00:00:00-04:00
0.6008855104446411,1981-07-09 00:00:00-04:00
0.5897579193115234,1981-07-10 00:00:00-04:00
0.6120125651359558,1981-07-13 00:00:00-04:00
0.6120125651359558,1981-07-14 00:00:00-04:00
0.623140275478363,1981-07-15 00:00:00-04:00
0.6120125651359558,1981-07-16 00:00:00-04:00
0.6008855104446411,1981-07-17 00:00:00-04:00
0.6008855104446411,1981-07-20 00:00:00-04:00
0.5897579193115234,1981-07-21 00:00:00-04:00
0.5897579193115234,1981-07-22 00:00:00-04:00
0.5897579193115234,1981-07-23 00:00:00-04:00
0.5897579193115234,1981-07-24 00:00:00-04:00
0.6008855104446411,1981-07-27 00:00:00-04:00
0.6008855104446411,1981-07-28 00:00:00-04:00
0.5897579193115234,1981-07-29 00:00:00-04:00
0.5953212976455688,1981-07-30 00:00:00-04:00
0.6008855104446411,1981-07-31 00:00:00-04:00
0.6064492464065552,1981-08-03 00:00:00-04:00
0.6064492464065552,1981-08-04 00:00:00-04:00
0.6008855104446411,1981-08-05 00:00:00-04:00
0.617576539516449,1981-08-06 00:00:00-04:00
0.617576539516449,1981-08-07 00:00:00-04:00
0.617576539516449,1981-08-10 00:00:00-04:00
0.617576539516449,1981-08-11 00:00:00-04:00
0.617576539516449,1981-08-12 00:00:00-04:00
0.623140275478363,1981-08-13 00:00:00-04:00
0.6287038326263428,1981-08-14 00:00:00-04:00
0.623140275478363,1981-08-17 00:00:00-04:00
0.5897579193115234,1981-08-18 00:00:00-04:00
0.6008855104446411,1981-08-19 00:00:00-04:00
0.6008855104446411,1981-08-20 00:00:00-04:00
0.5897579193115234,1981-08-21 00:00:00-04:00
0.5452475547790527,1981-08-24 00:00:00-04:00
0.47848260402679443,1981-08-25 00:00:00-04:00
0.5007377862930298,1981-08-26 00:00:00-04:00
0.5118649005889893,1981-08-27 00:00:00-04:00
0.5007377862930298,1981-08-28 00:00:00-04:00
0.5007377862930298,1981-08-31 00:00:00-04:00
0.4673551619052887,1981-09-01 00:00:00-04:00
0.44509992003440857,1981-09-02 00:00:00-04:00
0.4673551619052887,1981-09-03 00:00:00-04:00
0.4673551619052887,1981-09-04 00:00:00-04:00
0.4673551619052887,1981-09-08 00:00:00-04:00
0.4673551619052887,1981-09-09 00:00:00-04:00
0.47848260402679443,1981-09-10 00:00:00-04:00
0.4673551619052887,1981-09-11 00:00:00-04:00
0.4673551619052887,1981-09-14 00:00:00-04:00
0.4673551619052887,1981-09-15 00:00:00-04:00
0.4339727461338043,1981-09-16 00:00:00-04:00
0.4228452742099762,1981-09-17 00:00:00-04:00
0.37277156114578247,1981-09-18 00:00:00-04:00
0.4228452742099762,1981-09-21 00:00:00-04:00
0.4228452742099762,1981-09-22 00:00:00-04:00
0.3950262665748596,1981-09-23 00:00:00-04:00
0.37833499908447266,1981-09-24 00:00:00-04:00
0.3449524939060211,1981-09-25 00:00:00-04:00
0.37833499908447266,1981-09-28 00:00:00-04:00
0.40059006214141846,1981-09-29 00:00:00-04:00
0.44509992003440857,1981-09-30 00:00:00-04:00
0.44509992003440857,1981-10-01 00:00:00-04:00
0.4339727461338043,1981-10-02 00:00:00-04:00
0.4562278985977173,1981-10-05 00:00:00-04:00
0.4506639242172241,1981-10-06 00:00:00-04:00
0.44509992003440857,1981-10-07 00:00:00-04:00
0.44509992003440857,1981-10-08 00:00:00-04:00
0.4562278985977173,1981-10-09 00:00:00-04:00
0.4562278985977173,1981-10-12 00:00:00-04:00
0.47848260402679443,1981-10-13 00:00:00-04:00
0.4562278985977173,1981-10-14 00:00:00-04:00
0.4562278985977173,1981-10-15 00:00:00-04:00
0.4562278985977173,1981-10-16 00:00:00-04:00
0.4562278985977173,1981-10-19 00:00:00-04:00
0.4562278985977173,1981-10-20 00:00:00-04:00
0.4562278985977173,1981-10-21 00:00:00-04:00
0.4673551619052887,1981-10-22 00:00:00-04:00
0.44509992003440857,1981-10-23 00:00:00-04:00
0.4228452742099762,1981-10-26 00:00:00-05:00
0.4117175340652466,1981-10-27 00:00:00-05:00
0.4117175340652466,1981-10-28 00:00:00-05:00
0.4117175340652466,1981-10-29 00:00:00-05:00
0.40059006214141846,1981-10-30 00:00:00-05:00
0.4339727461338043,1981-11-02 00:00:00-05:00
0.4339727461338043,1981-11-03 00:00:00-05:00
0.4339727461338043,1981-11-04 00:00:00-05:00
0.4339727461338043,1981-11-05 00:00:00-05:00
0.4228452742099762,1981-11-06 00:00:00-05:00
0.4228452742099762,1981-11-09 00:00:00-05:00
0.4228452742099762,1981-11-10 00:00:00-05:00
0.44509992003440857,1981-11-11 00:00:00-05:00
0.44509992003440857,1981-11-12 00:00:00-05:00
0.4562278985977173,1981-11-13 00:00:00-05:00
0.4506639242172241,1981-11-16 00:00:00-05:00
