MU,Date
2.407841682434082,1985-01-23 00:00:00-05:00
2.3476455211639404,1985-01-24 00:00:00-05:00
2.3717241287231445,1985-01-25 00:00:00-05:00
2.359685182571411,1985-01-28 00:00:00-05:00
2.287449598312378,1985-01-29 00:00:00-05:00
2.3356070518493652,1985-01-30 00:00:00-05:00
2.311527729034424,1985-01-31 00:00:00-05:00
2.2754106521606445,1985-02-01 00:00:00-05:00
2.2754106521606445,1985-02-04 00:00:00-05:00
2.311527729034424,1985-02-05 00:00:00-05:00
2.2994890213012695,1985-02-06 00:00:00-05:00
2.287449598312378,1985-02-07 00:00:00-05:00
2.2633707523345947,1985-02-08 00:00:00-05:00
2.191136360168457,1985-02-11 00:00:00-05:00
2.1309397220611572,1985-02-12 00:00:00-05:00
2.0827832221984863,1985-02-13 00:00:00-05:00
1.6132540702819824,1985-02-14 00:00:00-05:00
1.637332558631897,1985-02-15 00:00:00-05:00
1.4326660633087158,1985-02-19 00:00:00-05:00
1.4687833786010742,1985-02-20 00:00:00-05:00
1.480823040008545,1985-02-21 00:00:00-05:00
1.4687833786010742,1985-02-22 00:00:00-05:00
1.191881775856018,1985-02-25 00:00:00-05:00
1.0474110841751099,1985-02-26 00:00:00-05:00
0.999254584312439,1985-02-27 00:00:00-05:00
1.119646430015564,1985-02-28 00:00:00-05:00
1.2520779371261597,1985-03-01 00:00:00-05:00
1.215959906578064,1985-03-04 00:00:00-05:00
1.203920841217041,1985-03-05 00:00:00-05:00
1.1316853761672974,1985-03-06 00:00:00-05:00
1.119646430015564,1985-03-07 00:00:00-05:00
1.0955681800842285,1985-03-08 00:00:00-05:00
1.0955681800842285,1985-03-11 00:00:00-05:00
1.0714895725250244,1985-03-12 00:00:00-05:00
1.011293649673462,1985-03-13 00:00:00-05:00
1.011293649673462,1985-03-14 00:00:00-05:00
1.0474110841751099,1985-03-15 00:00:00-05:00
1.264116883277893,1985-03-18 00:00:00-05:00
1.1678035259246826,1985-03-19 00:00:00-05:00
1.083528995513916,1985-03-20 00:00:00-05:00
1.119646430015564,1985-03-21 00:00:00-05:00
1.059450626373291,1985-03-22 00:00:00-05:00
1.155763864517212,1985-03-25 00:00:00-05:00
1.191881775856018,1985-03-26 00:00:00-05:00
1.1798425912857056,1985-03-27 00:00:00-05:00
1.143724799156189,1985-03-28 00:00:00-05:00
1.107607126235962,1985-03-29 00:00:00-05:00
1.035372018814087,1985-04-01 00:00:00-05:00
1.0474110841751099,1985-04-02 00:00:00-05:00
1.1316853761672974,1985-04-03 00:00:00-05:00
1.1678035259246826,1985-04-04 00:00:00-05:00
1.155763864517212,1985-04-08 00:00:00-05:00
1.0714895725250244,1985-04-09 00:00:00-05:00
1.1316853761672974,1985-04-10 00:00:00-05:00
1.143724799156189,1985-04-11 00:00:00-05:00
1.1316853761672974,1985-04-12 00:00:00-05:00
1.143724799156189,1985-04-15 00:00:00-05:00
1.155763864517212,1985-04-16 00:00:00-05:00
1.2520779371261597,1985-04-17 00:00:00-05:00
1.3122737407684326,1985-04-18 00:00:00-05:00
1.3724699020385742,1985-04-19 00:00:00-05:00
