PYPL,Date
39.040000915527344,2016-03-30 00:00:00-04:00
38.599998474121094,2016-03-31 00:00:00-04:00
39.400001525878906,2016-04-01 00:00:00-04:00
38.790000915527344,2016-04-04 00:00:00-04:00
38.54999923706055,2016-04-05 00:00:00-04:00
39.15999984741211,2016-04-06 00:00:00-04:00
38.279998779296875,2016-04-07 00:00:00-04:00
38.40999984741211,2016-04-08 00:00:00-04:00
38.060001373291016,2016-04-11 00:00:00-04:00
37.79999923706055,2016-04-12 00:00:00-04:00
38.790000915527344,2016-04-13 00:00:00-04:00
38.63999938964844,2016-04-14 00:00:00-04:00
38.58000183105469,2016-04-15 00:00:00-04:00
39.63999938964844,2016-04-18 00:00:00-04:00
39.2400016784668,2016-04-19 00:00:00-04:00
40.08000183105469,2016-04-20 00:00:00-04:00
40.099998474121094,2016-04-21 00:00:00-04:00
40.310001373291016,2016-04-22 00:00:00-04:00
39.81999969482422,2016-04-25 00:00:00-04:00
39.72999954223633,2016-04-26 00:00:00-04:00
40.0099983215332,2016-04-27 00:00:00-04:00
40.06999969482422,2016-04-28 00:00:00-04:00
39.18000030517578,2016-04-29 00:00:00-04:00
39.02000045776367,2016-05-02 00:00:00-04:00
38.36000061035156,2016-05-03 00:00:00-04:00
38.310001373291016,2016-05-04 00:00:00-04:00
38.95000076293945,2016-05-05 00:00:00-04:00
39.47999954223633,2016-05-06 00:00:00-04:00
39.619998931884766,2016-05-09 00:00:00-04:00
40.11000061035156,2016-05-10 00:00:00-04:00
39.709999084472656,2016-05-11 00:00:00-04:00
39.5099983215332,2016-05-12 00:00:00-04:00
39.47999954223633,2016-05-13 00:00:00-04:00
39.29999923706055,2016-05-16 00:00:00-04:00
39.064998626708984,2016-05-17 00:00:00-04:00
38.97999954223633,2016-05-18 00:00:00-04:00
37.650001525878906,2016-05-19 00:00:00-04:00
37.529998779296875,2016-05-20 00:00:00-04:00
38.06999969482422,2016-05-23 00:00:00-04:00
38.91999816894531,2016-05-24 00:00:00-04:00
38.7599983215332,2016-05-25 00:00:00-04:00
38.06999969482422,2016-05-26 00:00:00-04:00
38.09000015258789,2016-05-27 00:00:00-04:00
37.790000915527344,2016-05-31 00:00:00-04:00
38.310001373291016,2016-06-01 00:00:00-04:00
38.560001373291016,2016-06-02 00:00:00-04:00
38.33000183105469,2016-06-03 00:00:00-04:00
38.099998474121094,2016-06-06 00:00:00-04:00
37.56999969482422,2016-06-07 00:00:00-04:00
37.54999923706055,2016-06-08 00:00:00-04:00
37.130001068115234,2016-06-09 00:00:00-04:00
36.77000045776367,2016-06-10 00:00:00-04:00
36.540000915527344,2016-06-13 00:00:00-04:00
37.15999984741211,2016-06-14 00:00:00-04:00
36.84000015258789,2016-06-15 00:00:00-04:00
36.970001220703125,2016-06-16 00:00:00-04:00
36.970001220703125,2016-06-17 00:00:00-04:00
36.86000061035156,2016-06-20 00:00:00-04:00
36.15999984741211,2016-06-21 00:00:00-04:00
36.0,2016-06-22 00:00:00-04:00
36.65999984741211,2016-06-23 00:00:00-04:00
35.08000183105469,2016-06-24 00:00:00-04:00
34.20000076293945,2016-06-27 00:00:00-04:00
35.2400016784668,2016-06-28 00:00:00-04:00
35.77000045776367,2016-06-29 00:00:00-04:00
36.5099983215332,2016-06-30 00:00:00-04:00
36.349998474121094,2016-07-01 00:00:00-04:00
36.119998931884766,2016-07-05 00:00:00-04:00
35.93000030517578,2016-07-06 00:00:00-04:00
36.31999969482422,2016-07-07 00:00:00-04:00
37.36000061035156,2016-07-08 00:00:00-04:00
38.150001525878906,2016-07-11 00:00:00-04:00
38.790000915527344,2016-07-12 00:00:00-04:00
39.279998779296875,2016-07-13 00:00:00-04:00
39.959999084472656,2016-07-14 00:00:00-04:00
39.09000015258789,2016-07-15 00:00:00-04:00
38.91999816894531,2016-07-18 00:00:00-04:00
39.369998931884766,2016-07-19 00:00:00-04:00
40.04999923706055,2016-07-20 00:00:00-04:00
40.130001068115234,2016-07-21 00:00:00-04:00
37.41999816894531,2016-07-22 00:00:00-04:00
37.779998779296875,2016-07-25 00:00:00-04:00
37.689998626708984,2016-07-26 00:00:00-04:00
37.220001220703125,2016-07-27 00:00:00-04:00
37.220001220703125,2016-07-28 00:00:00-04:00
37.2400016784668,2016-07-29 00:00:00-04:00
37.060001373291016,2016-08-01 00:00:00-04:00
36.540000915527344,2016-08-02 00:00:00-04:00
36.58000183105469,2016-08-03 00:00:00-04:00
37.29999923706055,2016-08-04 00:00:00-04:00
38.099998474121094,2016-08-05 00:00:00-04:00
37.90999984741211,2016-08-08 00:00:00-04:00
38.099998474121094,2016-08-09 00:00:00-04:00
38.06999969482422,2016-08-10 00:00:00-04:00
38.459999084472656,2016-08-11 00:00:00-04:00
38.5099983215332,2016-08-12 00:00:00-04:00
38.459999084472656,2016-08-15 00:00:00-04:00
38.380001068115234,2016-08-16 00:00:00-04:00
38.13999938964844,2016-08-17 00:00:00-04:00
38.220001220703125,2016-08-18 00:00:00-04:00
38.09000015258789,2016-08-19 00:00:00-04:00
38.11000061035156,2016-08-22 00:00:00-04:00
37.86000061035156,2016-08-23 00:00:00-04:00
37.52000045776367,2016-08-24 00:00:00-04:00
37.5099983215332,2016-08-25 00:00:00-04:00
37.650001525878906,2016-08-26 00:00:00-04:00
37.290000915527344,2016-08-29 00:00:00-04:00
37.0,2016-08-30 00:00:00-04:00
37.150001525878906,2016-08-31 00:00:00-04:00
36.83000183105469,2016-09-01 00:00:00-04:00
37.06999969482422,2016-09-02 00:00:00-04:00
37.18000030517578,2016-09-06 00:00:00-04:00
38.560001373291016,2016-09-07 00:00:00-04:00
39.27000045776367,2016-09-08 00:00:00-04:00
38.0099983215332,2016-09-09 00:00:00-04:00
38.77000045776367,2016-09-12 00:00:00-04:00
39.86000061035156,2016-09-13 00:00:00-04:00
39.959999084472656,2016-09-14 00:00:00-04:00
40.83000183105469,2016-09-15 00:00:00-04:00
40.70000076293945,2016-09-16 00:00:00-04:00
40.0099983215332,2016-09-19 00:00:00-04:00
39.689998626708984,2016-09-20 00:00:00-04:00
40.290000915527344,2016-09-21 00:00:00-04:00
40.4900016784668,2016-09-22 00:00:00-04:00
40.06999969482422,2016-09-23 00:00:00-04:00
40.34000015258789,2016-09-26 00:00:00-04:00
41.060001373291016,2016-09-27 00:00:00-04:00
40.970001220703125,2016-09-28 00:00:00-04:00
40.38999938964844,2016-09-29 00:00:00-04:00
40.970001220703125,2016-09-30 00:00:00-04:00
40.59000015258789,2016-10-03 00:00:00-04:00
40.779998779296875,2016-10-04 00:00:00-04:00
40.439998626708984,2016-10-05 00:00:00-04:00
40.18000030517578,2016-10-06 00:00:00-04:00
39.880001068115234,2016-10-07 00:00:00-04:00
39.86000061035156,2016-10-10 00:00:00-04:00
39.189998626708984,2016-10-11 00:00:00-04:00
39.529998779296875,2016-10-12 00:00:00-04:00
39.20000076293945,2016-10-13 00:00:00-04:00
39.2400016784668,2016-10-14 00:00:00-04:00
39.47999954223633,2016-10-17 00:00:00-04:00
39.83000183105469,2016-10-18 00:00:00-04:00
40.2400016784668,2016-10-19 00:00:00-04:00
40.09000015258789,2016-10-20 00:00:00-04:00
44.150001525878906,2016-10-21 00:00:00-04:00
43.869998931884766,2016-10-24 00:00:00-04:00
43.310001373291016,2016-10-25 00:00:00-04:00
42.33000183105469,2016-10-26 00:00:00-04:00
41.689998626708984,2016-10-27 00:00:00-04:00
41.7599983215332,2016-10-28 00:00:00-04:00
41.65999984741211,2016-10-31 00:00:00-04:00
41.540000915527344,2016-11-01 00:00:00-04:00
41.349998474121094,2016-11-02 00:00:00-04:00
41.189998626708984,2016-11-03 00:00:00-04:00
40.900001525878906,2016-11-04 00:00:00-04:00
41.279998779296875,2016-11-07 00:00:00-05:00
41.58000183105469,2016-11-08 00:00:00-05:00
41.2599983215332,2016-11-09 00:00:00-05:00
40.45000076293945,2016-11-10 00:00:00-05:00
40.08000183105469,2016-11-11 00:00:00-05:00
38.810001373291016,2016-11-14 00:00:00-05:00
38.939998626708984,2016-11-15 00:00:00-05:00
39.06999969482422,2016-11-16 00:00:00-05:00
39.880001068115234,2016-11-17 00:00:00-05:00
40.08000183105469,2016-11-18 00:00:00-05:00
40.630001068115234,2016-11-21 00:00:00-05:00
40.33000183105469,2016-11-22 00:00:00-05:00
40.04999923706055,2016-11-23 00:00:00-05:00
40.2599983215332,2016-11-25 00:00:00-05:00
39.959999084472656,2016-11-28 00:00:00-05:00
39.88999938964844,2016-11-29 00:00:00-05:00
39.279998779296875,2016-11-30 00:00:00-05:00
38.34000015258789,2016-12-01 00:00:00-05:00
38.619998931884766,2016-12-02 00:00:00-05:00
38.9900016784668,2016-12-05 00:00:00-05:00
38.97999954223633,2016-12-06 00:00:00-05:00
39.45000076293945,2016-12-07 00:00:00-05:00
39.61000061035156,2016-12-08 00:00:00-05:00
39.650001525878906,2016-12-09 00:00:00-05:00
39.43000030517578,2016-12-12 00:00:00-05:00
39.43000030517578,2016-12-13 00:00:00-05:00
39.54999923706055,2016-12-14 00:00:00-05:00
39.540000915527344,2016-12-15 00:00:00-05:00
39.31999969482422,2016-12-16 00:00:00-05:00
39.439998626708984,2016-12-19 00:00:00-05:00
39.7400016784668,2016-12-20 00:00:00-05:00
40.09000015258789,2016-12-21 00:00:00-05:00
39.68000030517578,2016-12-22 00:00:00-05:00
39.58000183105469,2016-12-23 00:00:00-05:00
39.720001220703125,2016-12-27 00:00:00-05:00
39.56999969482422,2016-12-28 00:00:00-05:00
39.959999084472656,2016-12-29 00:00:00-05:00
39.470001220703125,2016-12-30 00:00:00-05:00
40.25,2017-01-03 00:00:00-05:00
41.0,2017-01-04 00:00:00-05:00
