AEP,Date
0.8944544792175293,1962-09-21 00:00:00-04:00
0.8892032504081726,1962-09-24 00:00:00-04:00
0.8892032504081726,1962-09-25 00:00:00-04:00
0.8752001523971558,1962-09-26 00:00:00-04:00
0.882201075553894,1962-09-27 00:00:00-04:00
0.8804512023925781,1962-09-28 00:00:00-04:00
0.8716986775398254,1962-10-01 00:00:00-04:00
0.8716986775398254,1962-10-02 00:00:00-04:00
0.8804512023925781,1962-10-03 00:00:00-04:00
0.8804512023925781,1962-10-04 00:00:00-04:00
0.8804512023925781,1962-10-05 00:00:00-04:00
0.9032061100006104,1962-10-08 00:00:00-04:00
0.8962041139602661,1962-10-09 00:00:00-04:00
0.9067069292068481,1962-10-10 00:00:00-04:00
0.9084576368331909,1962-10-11 00:00:00-04:00
0.8997054696083069,1962-10-12 00:00:00-04:00
0.904956579208374,1962-10-15 00:00:00-04:00
0.8997054696083069,1962-10-16 00:00:00-04:00
0.8997054696083069,1962-10-17 00:00:00-04:00
0.8962041139602661,1962-10-18 00:00:00-04:00
0.882201075553894,1962-10-19 00:00:00-04:00
0.8699486255645752,1962-10-22 00:00:00-04:00
0.8279390335083008,1962-10-23 00:00:00-04:00
0.8261880278587341,1962-10-24 00:00:00-04:00
0.8191869854927063,1962-10-25 00:00:00-04:00
0.8366919159889221,1962-10-26 00:00:00-04:00
0.8611964583396912,1962-10-29 00:00:00-05:00
0.8716986775398254,1962-10-30 00:00:00-05:00
0.8681990504264832,1962-10-31 00:00:00-05:00
0.8611964583396912,1962-11-01 00:00:00-05:00
0.8787006139755249,1962-11-02 00:00:00-05:00
0.9102074503898621,1962-11-05 00:00:00-05:00
0.903957188129425,1962-11-07 00:00:00-05:00
0.8829347491264343,1962-11-08 00:00:00-05:00
0.9004535675048828,1962-11-09 00:00:00-05:00
0.91096431016922,1962-11-12 00:00:00-05:00
0.896949291229248,1962-11-13 00:00:00-05:00
0.9144678711891174,1962-11-14 00:00:00-05:00
0.9354910254478455,1962-11-15 00:00:00-05:00
0.953008770942688,1962-11-16 00:00:00-05:00
0.9565126895904541,1962-11-19 00:00:00-05:00
0.9880465269088745,1962-11-20 00:00:00-05:00
0.9915503263473511,1962-11-21 00:00:00-05:00
0.9775350689888,1962-11-23 00:00:00-05:00
0.9670241475105286,1962-11-26 00:00:00-05:00
0.9635208249092102,1962-11-27 00:00:00-05:00
0.9495058059692383,1962-11-28 00:00:00-05:00
0.9495058059692383,1962-11-29 00:00:00-05:00
0.9179718494415283,1962-11-30 00:00:00-05:00
0.9249789118766785,1962-12-03 00:00:00-05:00
0.9460020065307617,1962-12-04 00:00:00-05:00
0.9460020065307617,1962-12-05 00:00:00-05:00
0.9319867491722107,1962-12-06 00:00:00-05:00
