GOOGL,Date
4.517267227172852,2005-03-31 00:00:00-05:00
4.5055060386657715,2005-04-01 00:00:00-05:00
4.636887073516846,2005-04-04 00:00:00-04:00
4.718968868255615,2005-04-05 00:00:00-04:00
4.735235214233398,2005-04-06 00:00:00-04:00
4.848848819732666,2005-04-07 00:00:00-04:00
4.806056022644043,2005-04-08 00:00:00-04:00
4.835586071014404,2005-04-11 00:00:00-04:00
4.853854179382324,2005-04-12 00:00:00-04:00
4.828077793121338,2005-04-13 00:00:00-04:00
4.791040897369385,2005-04-14 00:00:00-04:00
4.629630088806152,2005-04-15 00:00:00-04:00
4.678928852081299,2005-04-18 00:00:00-04:00
4.789790153503418,2005-04-19 00:00:00-04:00
4.957457065582275,2005-04-20 00:00:00-04:00
5.1106109619140625,2005-04-21 00:00:00-04:00
5.400650978088379,2005-04-22 00:00:00-04:00
5.593843936920166,2005-04-25 00:00:00-04:00
5.474224090576172,2005-04-26 00:00:00-04:00
5.5,2005-04-27 00:00:00-04:00
5.491742134094238,2005-04-28 00:00:00-04:00
5.5055060386657715,2005-04-29 00:00:00-04:00
5.562812805175781,2005-05-02 00:00:00-04:00
5.660409927368164,2005-05-03 00:00:00-04:00
5.718217849731445,2005-05-04 00:00:00-04:00
5.680180072784424,2005-05-05 00:00:00-04:00
5.70620584487915,2005-05-06 00:00:00-04:00
5.656156063079834,2005-05-09 00:00:00-04:00
5.7007012367248535,2005-05-10 00:00:00-04:00
5.7880377769470215,2005-05-11 00:00:00-04:00
5.723723888397217,2005-05-12 00:00:00-04:00
5.73673677444458,2005-05-13 00:00:00-04:00
5.782032012939453,2005-05-16 00:00:00-04:00
5.8340840339660645,2005-05-17 00:00:00-04:00
5.984984874725342,2005-05-18 00:00:00-04:00
5.985485076904297,2005-05-19 00:00:00-04:00
6.046296119689941,2005-05-20 00:00:00-04:00
6.392642974853516,2005-05-23 00:00:00-04:00
6.406405925750732,2005-05-24 00:00:00-04:00
6.5267767906188965,2005-05-25 00:00:00-04:00
6.486485958099365,2005-05-26 00:00:00-04:00
6.6566572189331055,2005-05-27 00:00:00-04:00
6.938689231872559,2005-05-31 00:00:00-04:00
7.207207202911377,2005-06-01 00:00:00-04:00
7.204705238342285,2005-06-02 00:00:00-04:00
7.013514041900635,2005-06-03 00:00:00-04:00
7.280780792236328,2005-06-06 00:00:00-04:00
7.335334777832031,2005-06-07 00:00:00-04:00
6.995995998382568,2005-06-08 00:00:00-04:00
7.164915084838867,2005-06-09 00:00:00-04:00
7.069570064544678,2005-06-10 00:00:00-04:00
7.075826168060303,2005-06-13 00:00:00-04:00
6.9657158851623535,2005-06-14 00:00:00-04:00
6.8768768310546875,2005-06-15 00:00:00-04:00
6.942943096160889,2005-06-16 00:00:00-04:00
7.014514923095703,2005-06-17 00:00:00-04:00
7.174674987792969,2005-06-20 00:00:00-04:00
7.203203201293945,2005-06-21 00:00:00-04:00
7.239739894866943,2005-06-22 00:00:00-04:00
7.25,2005-06-23 00:00:00-04:00
7.438689231872559,2005-06-24 00:00:00-04:00
7.610109806060791,2005-06-27 00:00:00-04:00
7.557558059692383,2005-06-28 00:00:00-04:00
7.325325012207031,2005-06-29 00:00:00-04:00
7.361111164093018,2005-06-30 00:00:00-04:00
7.288538932800293,2005-07-01 00:00:00-04:00
7.400149822235107,2005-07-05 00:00:00-04:00
7.295294761657715,2005-07-06 00:00:00-04:00
7.395895957946777,2005-07-07 00:00:00-04:00
7.413163185119629,2005-07-08 00:00:00-04:00
7.341091156005859,2005-07-11 00:00:00-04:00
7.301802158355713,2005-07-12 00:00:00-04:00
7.478979110717773,2005-07-13 00:00:00-04:00
7.52977991104126,2005-07-14 00:00:00-04:00
7.53728723526001,2005-07-15 00:00:00-04:00
7.495995998382568,2005-07-18 00:00:00-04:00
7.755255222320557,2005-07-19 00:00:00-04:00
7.807807922363281,2005-07-20 00:00:00-04:00
7.856356143951416,2005-07-21 00:00:00-04:00
7.567567825317383,2005-07-22 00:00:00-04:00
7.403654098510742,2005-07-25 00:00:00-04:00
7.4096598625183105,2005-07-26 00:00:00-04:00
7.430681228637695,2005-07-27 00:00:00-04:00
7.344844818115234,2005-07-28 00:00:00-04:00
7.20120096206665,2005-07-29 00:00:00-04:00
7.297547817230225,2005-08-01 00:00:00-04:00
7.487236976623535,2005-08-02 00:00:00-04:00
7.439939975738525,2005-08-03 00:00:00-04:00
7.4507012367248535,2005-08-04 00:00:00-04:00
7.316065788269043,2005-08-05 00:00:00-04:00
7.288538932800293,2005-08-08 00:00:00-04:00
7.296546936035156,2005-08-09 00:00:00-04:00
7.149148941040039,2005-08-10 00:00:00-04:00
7.108357906341553,2005-08-11 00:00:00-04:00
7.250249862670898,2005-08-12 00:00:00-04:00
7.107107162475586,2005-08-15 00:00:00-04:00
7.148397922515869,2005-08-16 00:00:00-04:00
7.134634971618652,2005-08-17 00:00:00-04:00
7.006756782531738,2005-08-18 00:00:00-04:00
7.007007122039795,2005-08-19 00:00:00-04:00
6.857107162475586,2005-08-22 00:00:00-04:00
6.996496200561523,2005-08-23 00:00:00-04:00
7.0713210105896,2005-08-24 00:00:00-04:00
7.071822166442871,2005-08-25 00:00:00-04:00
7.096597194671631,2005-08-26 00:00:00-04:00
7.218468189239502,2005-08-29 00:00:00-04:00
7.188939094543457,2005-08-30 00:00:00-04:00
7.157156944274902,2005-08-31 00:00:00-04:00
7.163413047790527,2005-09-01 00:00:00-04:00
7.218468189239502,2005-09-02 00:00:00-04:00
7.184935092926025,2005-09-06 00:00:00-04:00
7.379128932952881,2005-09-07 00:00:00-04:00
7.392141819000244,2005-09-08 00:00:00-04:00
7.484735012054443,2005-09-09 00:00:00-04:00
7.751251220703125,2005-09-12 00:00:00-04:00
7.799799919128418,2005-09-13 00:00:00-04:00
7.582582950592041,2005-09-14 00:00:00-04:00
7.573072910308838,2005-09-15 00:00:00-04:00
7.512513160705566,2005-09-16 00:00:00-04:00
7.602352142333984,2005-09-19 00:00:00-04:00
7.7054548263549805,2005-09-20 00:00:00-04:00
7.805305004119873,2005-09-21 00:00:00-04:00
7.792041778564453,2005-09-22 00:00:00-04:00
7.891891956329346,2005-09-23 00:00:00-04:00
7.864864826202393,2005-09-26 00:00:00-04:00
7.856356143951416,2005-09-27 00:00:00-04:00
7.657658100128174,2005-09-28 00:00:00-04:00
7.748248100280762,2005-09-29 00:00:00-04:00
7.919418811798096,2005-09-30 00:00:00-04:00
7.974975109100342,2005-10-03 00:00:00-04:00
7.782783031463623,2005-10-04 00:00:00-04:00
7.77552604675293,2005-10-05 00:00:00-04:00
7.826577186584473,2005-10-06 00:00:00-04:00
7.832582950592041,2005-10-07 00:00:00-04:00
7.77402400970459,2005-10-10 00:00:00-04:00
7.660160064697266,2005-10-11 00:00:00-04:00
7.531782150268555,2005-10-12 00:00:00-04:00
7.4434428215026855,2005-10-13 00:00:00-04:00
7.4109110832214355,2005-10-14 00:00:00-04:00
7.632633209228516,2005-10-17 00:00:00-04:00
7.589590072631836,2005-10-18 00:00:00-04:00
7.72522497177124,2005-10-19 00:00:00-04:00
7.587587833404541,2005-10-20 00:00:00-04:00
8.506006240844727,2005-10-21 00:00:00-04:00
8.724974632263184,2005-10-24 00:00:00-04:00
8.68143081665039,2005-10-25 00:00:00-04:00
8.89489459991455,2005-10-26 00:00:00-04:00
8.835334777832031,2005-10-27 00:00:00-04:00
8.963212966918945,2005-10-28 00:00:00-04:00
9.312812805175781,2005-10-31 00:00:00-05:00
9.493993759155273,2005-11-01 00:00:00-05:00
9.50150203704834,2005-11-02 00:00:00-05:00
9.658408164978027,2005-11-03 00:00:00-05:00
9.77052116394043,2005-11-04 00:00:00-05:00
9.885636329650879,2005-11-07 00:00:00-05:00
9.757257461547852,2005-11-08 00:00:00-05:00
9.488238334655762,2005-11-09 00:00:00-05:00
9.787286758422852,2005-11-10 00:00:00-05:00
9.769769668579102,2005-11-11 00:00:00-05:00
9.934184074401855,2005-11-14 00:00:00-05:00
9.829830169677734,2005-11-15 00:00:00-05:00
9.963713645935059,2005-11-16 00:00:00-05:00
10.096345901489258,2005-11-17 00:00:00-05:00
10.015265464782715,2005-11-18 00:00:00-05:00
10.244243621826172,2005-11-21 00:00:00-05:00
10.422171592712402,2005-11-22 00:00:00-05:00
10.58208179473877,2005-11-23 00:00:00-05:00
10.726225852966309,2005-11-25 00:00:00-05:00
10.5975980758667,2005-11-28 00:00:00-05:00
10.098599433898926,2005-11-29 00:00:00-05:00
10.132883071899414,2005-11-30 00:00:00-05:00
10.3626127243042,2005-12-01 00:00:00-05:00
10.452953338623047,2005-12-02 00:00:00-05:00
10.15640640258789,2005-12-05 00:00:00-05:00
10.123623847961426,2005-12-06 00:00:00-05:00
10.115615844726562,2005-12-07 00:00:00-05:00
10.276527404785156,2005-12-08 00:00:00-05:00
10.240240097045898,2005-12-09 00:00:00-05:00
10.325575828552246,2005-12-12 00:00:00-05:00
10.447697639465332,2005-12-13 00:00:00-05:00
10.48448371887207,2005-12-14 00:00:00-05:00
10.574323654174805,2005-12-15 00:00:00-05:00
10.764514923095703,2005-12-16 00:00:00-05:00
10.625625610351562,2005-12-19 00:00:00-05:00
10.754254341125488,2005-12-20 00:00:00-05:00
10.66891860961914,2005-12-21 00:00:00-05:00
10.811812400817871,2005-12-22 00:00:00-05:00
10.78403377532959,2005-12-23 00:00:00-05:00
10.626626968383789,2005-12-27 00:00:00-05:00
10.67792797088623,2005-12-28 00:00:00-05:00
10.514264106750488,2005-12-29 00:00:00-05:00
10.381881713867188,2005-12-30 00:00:00-05:00
10.891641616821289,2006-01-03 00:00:00-05:00
11.142142295837402,2006-01-04 00:00:00-05:00
11.292291641235352,2006-01-05 00:00:00-05:00
11.653153419494629,2006-01-06 00:00:00-05:00
11.684184074401855,2006-01-09 00:00:00-05:00
11.755756378173828,2006-01-10 00:00:00-05:00
11.802553176879883,2006-01-11 00:00:00-05:00
11.602352142333984,2006-01-12 00:00:00-05:00
11.66791820526123,2006-01-13 00:00:00-05:00
11.689438819885254,2006-01-17 00:00:00-05:00
11.13388442993164,2006-01-18 00:00:00-05:00
10.922171592712402,2006-01-19 00:00:00-05:00
9.996496200561523,2006-01-20 00:00:00-05:00
10.698198318481445,2006-01-23 00:00:00-05:00
11.086836814880371,2006-01-24 00:00:00-05:00
10.835836410522461,2006-01-25 00:00:00-05:00
10.8676176071167,2006-01-26 00:00:00-05:00
10.848097801208496,2006-01-27 00:00:00-05:00
10.681180953979492,2006-01-30 00:00:00-05:00
10.827326774597168,2006-01-31 00:00:00-05:00
10.05455493927002,2006-02-01 00:00:00-05:00
9.910910606384277,2006-02-02 00:00:00-05:00
9.548297882080078,2006-02-03 00:00:00-05:00
9.637137413024902,2006-02-06 00:00:00-05:00
9.207206726074219,2006-02-07 00:00:00-05:00
9.236235618591309,2006-02-08 00:00:00-05:00
8.978227615356445,2006-02-09 00:00:00-05:00
9.074323654174805,2006-02-10 00:00:00-05:00
8.651150703430176,2006-02-13 00:00:00-05:00
8.591591835021973,2006-02-14 00:00:00-05:00
8.56806755065918,2006-02-15 00:00:00-05:00
9.170671463012695,2006-02-16 00:00:00-05:00
9.227977752685547,2006-02-17 00:00:00-05:00
9.173924446105957,2006-02-21 00:00:00-05:00
9.146395683288574,2006-02-22 00:00:00-05:00
9.461211204528809,2006-02-23 00:00:00-05:00
9.444443702697754,2006-02-24 00:00:00-05:00
9.769268989562988,2006-02-27 00:00:00-05:00
9.074575424194336,2006-02-28 00:00:00-05:00
9.129129409790039,2006-03-01 00:00:00-05:00
9.420671463012695,2006-03-02 00:00:00-05:00
9.463964462280273,2006-03-03 00:00:00-05:00
9.211711883544922,2006-03-06 00:00:00-05:00
9.120369911193848,2006-03-07 00:00:00-05:00
8.855855941772461,2006-03-08 00:00:00-05:00
8.58358383178711,2006-03-09 00:00:00-05:00
