QQQE,Date
22.498592376708984,2013-10-14
22.40931510925293,2013-10-15
22.578947067260742,2013-10-16
22.73518180847168,2013-10-17
22.909276962280273,2013-10-18
22.878032684326172,2013-10-21
23.020877838134766,2013-10-22
22.7307186126709,2013-10-23
22.824462890625,2013-10-24
22.806612014770508,2013-10-25
22.860170364379883,2013-10-28
22.98070526123047,2013-10-29
22.918212890625,2013-10-30
22.878032684326172,2013-10-31
22.855710983276367,2013-11-01
22.93160057067871,2013-11-04
22.909276962280273,2013-11-05
22.81553840637207,2013-11-06
22.50752067565918,2013-11-07
22.654829025268555,2013-11-08
22.726255416870117,2013-11-11
22.726255416870117,2013-11-12
22.882497787475586,2013-11-13
23.034269332885742,2013-11-14
23.190515518188477,2013-11-15
22.949464797973633,2013-11-18
22.79768180847168,2013-11-19
22.76643180847168,2013-11-20
22.940528869628906,2013-11-21
23.101226806640625,2013-11-22
23.114625930786133,2013-11-25
23.23514747619629,2013-11-26
23.2797908782959,2013-11-27
23.315509796142578,2013-11-29
23.261940002441406,2013-12-02
23.172657012939453,2013-12-03
23.18604278564453,2013-12-04
23.110158920288086,2013-12-05
23.39139747619629,2013-12-06
23.40478515625,2013-12-09
23.418176651000977,2013-12-10
23.06998062133789,2013-12-11
23.08338165283203,2013-12-12
23.123554229736328,2013-12-13
23.22176170349121,2013-12-16
23.19497299194336,2013-12-17
23.39139747619629,2013-12-18
23.520849227905273,2013-12-19
23.7261905670166,2013-12-20
23.83779525756836,2013-12-23
23.94940185546875,2013-12-24
23.98957061767578,2013-12-26
23.994028091430664,2013-12-27
24.074386596679688,2013-12-30
24.15920066833496,2013-12-31
23.971712112426758,2014-01-02
23.87350845336914,2014-01-03
23.79315185546875,2014-01-06
23.971712112426758,2014-01-07
24.127954483032227,2014-01-08
24.01188850402832,2014-01-09
24.01188850402832,2014-01-10
23.712800979614258,2014-01-13
24.177061080932617,2014-01-14
24.297582626342773,2014-01-15
24.297582626342773,2014-01-16
24.288658142089844,2014-01-17
24.252954483032227,2014-01-21
24.48506736755371,2014-01-22
24.270797729492188,2014-01-23
23.851184844970703,2014-01-24
23.632450103759766,2014-01-27
23.681554794311523,2014-01-28
23.663698196411133,2014-01-29
23.98064613342285,2014-01-30
23.81546974182129,2014-01-31
23.253007888793945,2014-02-03
23.44049644470215,2014-02-04
23.35121726989746,2014-02-05
23.757444381713867,2014-02-06
24.203842163085938,2014-02-07
24.355615615844727,2014-02-10
24.668100357055664,2014-02-11
24.752914428710938,2014-02-12
24.922544479370117,2014-02-13
25.029680252075195,2014-02-14
25.176998138427734,2014-02-18
25.176998138427734,2014-02-19
25.29751968383789,2014-02-20
25.319843292236328,2014-02-21
25.52518653869629,2014-02-24
25.400192260742188,2014-02-25
25.43144416809082,2014-02-26
25.583221435546875,2014-02-27
25.480548858642578,2014-02-28
25.30644989013672,2014-03-03
25.752853393554688,2014-03-04
25.730531692504883,2014-03-05
25.645719528198242,2014-03-06
25.5073299407959,2014-03-07
25.440372467041016,2014-03-10
25.351089477539062,2014-03-11
25.36447525024414,2014-03-12
25.052001953125,2014-03-13
25.13681983947754,2014-03-14
25.248422622680664,2014-03-17
25.480548858642578,2014-03-18
25.337696075439453,2014-03-19
25.43144416809082,2014-03-20
25.123430252075195,2014-03-21
24.66364097595215,2014-03-24
24.78533363342285,2014-03-25
24.601205825805664,2014-03-26
24.493432998657227,2014-03-27
24.53384017944336,2014-03-28
24.776350021362305,2014-03-31
25.185029983520508,2014-04-01
25.31526756286621,2014-04-02
25.072751998901367,2014-04-03
24.4754695892334,2014-04-04
24.125181198120117,2014-04-07
24.35421371459961,2014-04-08
24.71347427368164,2014-04-09
23.963497161865234,2014-04-10
23.635662078857422,2014-04-11
23.806320190429688,2014-04-14
23.90961456298828,2014-04-15
24.129667282104492,2014-04-16
24.304805755615234,2014-04-17
24.39912986755371,2014-04-21
24.641632080078125,2014-04-22
24.457500457763672,2014-04-23
24.43953514099121,2014-04-24
24.026371002197266,2014-04-25
23.994935989379883,2014-04-28
24.134157180786133,2014-04-29
24.31378936767578,2014-04-30
24.430557250976562,2014-05-01
24.43953514099121,2014-05-02
24.47097396850586,2014-05-05
24.241933822631836,2014-05-06
24.134157180786133,2014-05-07
24.15212059020996,2014-05-08
24.25541114807129,2014-05-09
24.68204689025879,2014-05-12
24.68204689025879,2014-05-13
24.47097396850586,2014-05-14
24.309303283691406,2014-05-15
24.453014373779297,2014-05-16
24.673065185546875,2014-05-19
24.461997985839844,2014-05-20
24.610191345214844,2014-05-21
24.78533363342285,2014-05-22
24.951501846313477,2014-05-23
25.185029983520508,2014-05-27
25.122156143188477,2014-05-28
25.247901916503906,2014-05-29
25.194002151489258,2014-05-30
25.306283950805664,2014-06-02
25.2434139251709,2014-06-03
25.355680465698242,2014-06-04
25.485919952392578,2014-06-05
25.69699478149414,2014-06-06
25.688013076782227,2014-06-09
25.66555404663086,2014-06-10
25.69699478149414,2014-06-11
25.66106605529785,2014-06-12
25.566757202148438,2014-06-13
